,type,label,num_fragments,fragment_generation_time,timed_network_generation,timed_network_size,timed_network_compression,compressed_network_nodes,objective,runtime,node_count,gap
0,constant-charging,I-3-3-100-07,2783,0.0389883518218994,0.0064067840576171,516,0.004136323928833,154,14.0,0.0481760501861572,1.0,0.0
1,constant-charging,I-5-5-200-05,24977,0.2198259830474853,0.1293551921844482,1682,0.0422415733337402,496,18.0,0.8205208778381348,1.0,0.0
2,constant-charging,I-1-1-50-08,719,0.0068111419677734,0.0016961097717285,162,0.001124620437622,45,12.0,0.010606050491333,1.0,0.0
3,constant-charging,I-3-3-100-01,3623,0.037353515625,0.0089302062988281,495,0.0067269802093505,153,15.0,0.0654699802398681,1.0,0.0
4,constant-charging,I-3-3-100-08,6125,0.0602688789367675,0.0152313709259033,523,0.0151007175445556,154,15.0,0.1137061119079589,1.0,0.0
5,constant-charging,I-1-1-50-09,476,0.0047974586486816,0.0013749599456787,174,0.0010812282562255,42,16.0,0.0075480937957763,1.0,0.0
6,constant-charging,I-5-5-200-09,20850,0.177199125289917,0.1280431747436523,1672,0.0360889434814453,521,18.0,0.7358560562133789,1.0,0.0
7,constant-charging,I-1-1-50-10,911,0.0109755992889404,0.0018980503082275,174,0.0015106201171875,52,13.0,0.0113890171051025,1.0,0.0
8,constant-charging,I-5-5-200-10,21949,0.2104599475860595,0.1759474277496338,1671,0.055049180984497,514,18.0,0.642503023147583,1.0,0.0
9,constant-charging,I-5-5-200-07,17829,0.155616283416748,0.0724391937255859,1716,0.0662484169006347,522,16.0,0.5349910259246826,1.0,0.0
10,constant-charging,I-3-3-100-06,5210,0.0486526489257812,0.0093922615051269,472,0.0081861019134521,141,15.0,0.1095459461212158,1.0,0.0
11,constant-charging,I-1-1-50-04,561,0.0053052902221679,0.0024213790893554,165,0.0008518695831298,43,17.0,0.0069730281829833,1.0,0.0
12,constant-charging,I-5-5-200-06,31534,0.2721395492553711,0.1428916454315185,1692,0.0975449085235595,538,16.0,0.9399659633636476,1.0,0.0
13,constant-charging,I-1-1-50-01,484,0.0050733089447021,0.0009131431579589,179,0.0008063316345214,46,13.0,0.006814956665039,1.0,0.0
14,constant-charging,I-5-5-200-03,20663,0.1848108768463134,0.0830919742584228,1723,0.0681686401367187,519,15.0,0.6515491008758545,1.0,0.0
15,constant-charging,I-5-5-200-02,20951,0.1856422424316406,0.0796763896942138,1667,0.0710296630859375,503,17.0,0.5443258285522461,1.0,0.0
16,constant-charging,I-3-3-100-04,4609,0.0420887470245361,0.0114037990570068,507,0.006925344467163,134,16.0,0.0578539371490478,1.0,0.0
17,constant-charging,I-3-3-100-02,4859,0.0675892829895019,0.0108115673065185,502,0.0075705051422119,139,17.0,0.0794360637664794,1.0,0.0
18,constant-charging,I-3-3-100-03,3456,0.0330660343170166,0.0361092090606689,514,0.0042355060577392,155,16.0,0.0485830307006835,1.0,0.0
19,constant-charging,I-3-3-100-10,3600,0.0444288253784179,0.0074977874755859,494,0.0058424472808837,148,19.0,0.0595221519470214,1.0,0.0
20,constant-charging,I-1-1-50-07,702,0.0078210830688476,0.0016281604766845,172,0.0011587142944335,48,16.0,0.0104868412017822,1.0,0.0
21,constant-charging,I-3-3-100-09,4554,0.0423011779785156,0.0098979473114013,514,0.0088272094726562,145,19.0,0.0719280242919921,1.0,0.0
22,constant-charging,I-1-1-50-03,1030,0.0101723670959472,0.0020458698272705,170,0.0017714500427246,52,12.0,0.0127351284027099,1.0,0.0
23,constant-charging,I-1-1-50-02,1166,0.0117042064666748,0.0024836063385009,170,0.0018577575683593,55,12.0,0.0201919078826904,1.0,0.0
24,constant-charging,I-5-5-200-01,24063,0.2316257953643798,0.0925848484039306,1664,0.078770637512207,507,18.0,0.7545299530029297,1.0,0.0
25,constant-charging,I-5-5-200-08,18636,0.1772158145904541,0.0790448188781738,1677,0.0683512687683105,532,16.0,0.560556173324585,1.0,0.0
26,constant-charging,I-3-3-100-05,3067,0.0538332462310791,0.0073635578155517,496,0.0049233436584472,155,18.0,0.0497369766235351,1.0,0.0
27,constant-charging,I-1-1-50-06,543,0.0055370330810546,0.0010795593261718,174,0.0007967948913574,44,13.0,0.0070478916168212,1.0,0.0
28,constant-charging,I-1-1-50-05,516,0.0055499076843261,0.0009865760803222,172,0.0007920265197753,52,15.0,0.0067920684814453,1.0,0.0
29,constant-charging,I-5-5-200-04,25408,0.2121717929840088,0.13547301292419434,1693,0.03764462471008301,515,16.0,0.8936018943786621,1.0,0.0
