,Jobs,Depots,Recursion,Forward Labelling
0,2000,7,0.449460506439209,0.5543704032897949
1,3000,7,0.7592649459838867,1.9174835681915283
2,4000,7,0.8994650840759277,1.0202624797821045
3,3000,7,0.6472105979919434,0.7275216579437256
4,2000,7,0.5189666748046875,0.5324532985687256
5,1000,7,0.24206995964050293,0.2734816074371338
6,3000,7,0.6652863025665283,0.7104582786560059
7,1000,7,0.24559235572814941,0.27431726455688477
8,4000,7,1.0114524364471436,1.0252363681793213
9,1000,7,0.2555100917816162,0.26671457290649414
10,2000,7,0.4125034809112549,0.44026947021484375
11,4000,7,0.8786990642547607,1.0634682178497314
12,1000,7,0.23360538482666016,0.23851776123046875
13,2000,7,0.551410436630249,0.5782740116119385
14,3000,7,0.6821651458740234,0.7479650974273682
15,2000,7,0.38211607933044434,0.39711880683898926
16,4000,7,0.8335251808166504,0.9363377094268799
17,4000,7,0.9803667068481445,1.0982210636138916
18,1000,7,0.25626206398010254,0.26590991020202637
19,100,3,0.01352548599243164,0.006142854690551758
20,200,5,0.02398848533630371,0.02610921859741211
21,50,2,0.0028352737426757812,0.0014259815216064453
22,100,3,0.0038268566131591797,0.004600048065185547
23,100,3,0.007997989654541016,0.010653495788574219
24,50,2,0.0011653900146484375,0.0012760162353515625
25,200,5,0.02167367935180664,0.0217740535736084
26,50,2,0.003648996353149414,0.002104043960571289
27,200,5,0.021799087524414062,0.023737668991088867
28,200,5,0.02131962776184082,0.02088332176208496
29,100,3,0.006724834442138672,0.0076541900634765625
30,50,2,0.0009975433349609375,0.0013546943664550781
31,200,5,0.029108762741088867,0.03134965896606445
32,50,2,0.0010437965393066406,0.0014960765838623047
33,200,5,0.02040410041809082,0.024456262588500977
34,200,5,0.022234201431274414,0.02100825309753418
35,100,3,0.006920814514160156,0.007143497467041016
36,100,3,0.008750438690185547,0.008662939071655273
37,100,3,0.004916191101074219,0.007813453674316406
38,100,3,0.0050847530364990234,0.011399030685424805
39,50,2,0.0013921260833740234,0.0014905929565429688
40,100,3,0.005955934524536133,0.00963735580444336
41,50,2,0.002223968505859375,0.0018455982208251953
42,50,2,0.0012903213500976562,0.0018203258514404297
43,200,5,0.022971391677856445,0.023897647857666016
44,200,5,0.019652128219604492,0.020617246627807617
45,100,3,0.004366636276245117,0.004046201705932617
46,50,2,0.0010151863098144531,0.0014464855194091797
47,50,2,0.0006966590881347656,0.0010597705841064453
48,200,5,0.024684906005859375,0.02370595932006836
