,type,label,num_fragments,fragment_generation_time,timed_network_generation,timed_network_size,timed_network_compression,compressed_network_nodes,objective,runtime,node_count,gap,method
0,constant-charging,I-7-7-2000-04,475671,22.05642318725586,2.650075674057007,23483,1.4922549724578855,7545,21.0,35.852423906326294,1.0,0.0,fragments
1,constant-charging,I-7-7-3000-01,762836,47.06882047653198,4.7852942943573,34830,2.463229417800904,11365,21.0,88.62256908416748,1.0,0.0,fragments
2,constant-charging,I-7-7-3000-05,727415,49.51583957672119,4.102705001831055,34808,2.321518898010254,11277,22.0,138.392245054245,1.0,0.0,fragments
3,constant-charging,I-7-7-4000-04,996383,91.50183033943176,6.162974119186401,46937,4.561992883682251,15161,20.0,135.2085690498352,1.0,0.0,fragments
4,constant-charging,I-7-7-3000-04,670545,46.276824712753296,3.9595327377319336,35021,2.08348035812378,11322,19.0,78.3134229183197,1.0,0.0,fragments
5,constant-charging,I-7-7-2000-01,568125,26.31085062026977,3.344303846359253,23455,1.88336443901062,7510,16.0,78.93657612800598,1.0,0.0,fragments
6,constant-charging,I-7-7-1000-03,270264,6.947160005569458,2.431574583053589,11566,1.1392369270324707,3656,19.0,35.36081004142761,1.0,0.0,fragments
7,constant-charging,I-7-7-3000-02,723909,50.77341556549072,4.396047830581665,35282,2.358004331588745,11208,18.0,87.06069087982178,1.0,0.0,fragments
8,constant-charging,I-7-7-1000-05,272488,6.316204786300659,1.210407018661499,11781,0.8742637634277344,3740,18.0,23.402732849121094,1.0,0.0,fragments
9,constant-charging,I-7-7-4000-01,1032527,89.00431227684021,8.259004831314087,46885,5.62269401550293,15364,18.0,159.92902898788452,1.0,0.0,fragments
10,constant-charging,I-7-7-1000-01,254574,5.988419532775879,1.356640100479126,11606,0.804462194442749,3659,18.0,16.720624923706055,1.0,0.0,fragments
11,constant-charging,I-7-7-2000-03,465207,23.75583577156067,3.4454610347747803,23293,1.4980390071868896,7527,18.0,41.61983680725098,1.0,0.0,fragments
12,constant-charging,I-7-7-4000-02,945899,95.67627358436584,8.473468780517578,46583,5.170321464538574,14907,19.0,149.0835840702057,1.0,0.0,fragments
13,constant-charging,I-7-7-1000-02,248825,5.935001850128174,0.9603075981140136,11622,0.8065171241760254,3679,17.0,16.82548999786377,1.0,0.0,fragments
14,constant-charging,I-7-7-2000-02,614898,30.720107316970825,4.020579099655151,23186,2.0743024349212646,7498,19.0,69.34439206123352,1.0,0.0,fragments
15,constant-charging,I-7-7-3000-03,748032,55.9537501335144,6.599018096923828,34832,2.927013874053955,11348,20.0,117.90375089645386,1.0,0.0,fragments
16,constant-charging,I-7-7-2000-05,418635,20.359658241271973,2.372312068939209,23428,1.422334909439087,7467,18.0,40.66239094734192,1.0,0.0,fragments
17,constant-charging,I-7-7-4000-05,914703,88.4557147026062,6.923254013061523,46880,4.44572377204895,15272,19.0,132.19021797180176,1.0,0.0,fragments
18,constant-charging,I-7-7-4000-03,1088671,95.92489075660706,6.917785406112671,46860,3.660092830657959,15194,17.0,234.73178005218503,1.0,0.0,fragments
19,constant-charging,I-7-7-1000-04,266819,6.528313159942627,0.7435729503631592,11540,0.9322671890258789,3728,18.0,18.351134061813354,1.0,0.0,fragments
